fuzz: elapsed: 0s, gathering baseline coverage: 0/177 completed
fuzz: elapsed: 13m54s, execs: 749651 (1569/sec), new interesting: 962 (total: 1139)
fuzz: elapsed: 13m57s, execs: 754517 (1622/sec), new interesting: 969 (total: 1146)
fuzz: elapsed: 14m0s, execs: 755115 (199/sec), new interesting: 970 (total: 1147)
fuzz: elapsed: 14m3s, execs: 755115 (0/sec), new interesting: 970 (total: 1147)
fuzz: elapsed: 14m6s, execs: 755115 (0/sec), new interesting: 970 (total: 1147)
fuzz: elapsed: 14m9s, execs: 755115 (0/sec), new interesting: 970 (total: 1147)
fuzz: elapsed: 14m12s, execs: 777696 (7525/sec), new interesting: 974 (total: 1151)
fuzz: elapsed: 14m15s, execs: 779513 (606/sec), new interesting: 979 (total: 1156)
fuzz: elapsed: 14m18s, execs: 781746 (744/sec), new interesting: 985 (total: 1162)
fuzz: elapsed: 14m21s, execs: 784191 (815/sec), new interesting: 990 (total: 1167)
fuzz: elapsed: 14m24s, execs: 785592 (467/sec), new interesting: 993 (total: 1170)
fuzz: elapsed: 14m27s, execs: 785592 (0/sec), new interesting: 993 (total: 1170)
fuzz: elapsed: 14m30s, execs: 789223 (1211/sec), new interesting: 995 (total: 1172)
fuzz: elapsed: 14m33s, execs: 789223 (0/sec), new interesting: 995 (total: 1172)
fuzz: elapsed: 14m36s, execs: 789223 (0/sec), new interesting: 995 (total: 1172)
fuzz: elapsed: 14m39s, execs: 789223 (0/sec), new interesting: 995 (total: 1172)
fuzz: elapsed: 14m42s, execs: 789223 (0/sec), new interesting: 995 (total: 1172)
fuzz: elapsed: 14m45s, execs: 789223 (0/sec), new interesting: 995 (total: 1172)
fuzz: elapsed: 14m48s, execs: 789223 (0/sec), new interesting: 995 (total: 1172)
fuzz: elapsed: 14m51s, execs: 789223 (0/sec), new interesting: 995 (total: 1172)
fuzz: elapsed: 14m54s, execs: 789223 (0/sec), new interesting: 995 (total: 1172)
fuzz: elapsed: 14m57s, execs: 789223 (0/sec), new interesting: 995 (total: 1172)
fuzz: elapsed: 15m0s, execs: 792544 (1107/sec), new interesting: 1008 (total: 1185)
fuzz: elapsed: 15m1s, execs: 792544 (0/sec), new interesting: 1008 (total: 1185)
PASS
ok  	github.com/DataDog/dd-iast-go/iast/internal/crashdiff	901.444s
      909.83 real      1116.32 user        72.07 sys
           151355392  maximum resident set size
                   0  average shared memory size
                   0  average unshared data size
                   0  average unshared stack size
             6693831  page reclaims
               10541  page faults
                   0  swaps
                   0  block input operations
                   0  block output operations
                 376  messages sent
                 385  messages received
             6494412  signals received
               43220  voluntary context switches
             5037342  involuntary context switches
          6115968578  instructions retired
          3361257056  cycles elapsed
            38044392  peak memory footprint
